questions,answers
when is the most beneficial time to sign for scholarships,
Where Is The Best Place To Work For A Electrician,"Hey Tre!  Its hard to categorize what you mean by best since it could mean: highest pay, best work/life balance, or job satisfaction? Here is a list of the highest paying locations for electricians: http://www.ecmweb.com/contractor/top-10-highest-paying-cities-electricians  You have to remember that some of these states have income tax so you make a lot less and its probably on par with other states. Good luck with your search :)"
What pre requisites do I have to complete to enroll in a nursing program," Great choice! Nursing is such a wonderful career. I would suggest looking into the nursing school/s that you would like to attend and seeing what their prerequisite list consists of. Each school can be slightly different. Some basic courses that all nursing schools would require are English, algebra, anatomy and physiology, microbiology, chemistry, childhood development, and psychology. Best of luck to you! "
"My parents refuse to sign up for financial aid, because of certain information required, is there any alternative way around this or special circumstantial exceptions?","Hi Akilah,   Since you need to apply for FAFSA each year, I figure the information below may still be helpful for you:  Here is the link for individuals who generally do not need their parents' information:   https://fafsa.ed.gov/fotw1718/help/fftoc02k.htm   This is part of their 'Help' section under the question: 'Will I need my parents’ information?' at fafsa.ed.gov - if you answer 'Yes' to any of those questions you should not need your parents' information to successfully apply.   If you answered 'No' to any of the scenarios from the link above, then you would still require your parents' info.  But if your parents still are not willing to provide the info needed to fill out your FAFSA then what can you do?   Check the below link out that details this exact special circumstance. You may need to work with your school is financial aid office to explain your situation. A key distinction in similar situations is to determine whether you are a 'Dependent' of your parents or considered 'Independent':  https://studentaid.ed.gov/sa/fafsa/filling-out/parent-info#unwilling-parents   I hope this helps!   #financial-aid  #personal-finance "
"My parents refuse to sign up for financial aid, because of certain information required, is there any alternative way around this or special circumstantial exceptions?"," That is a very difficult situation to be in. The other responses in this thread seemed very helpful, and I would also recommend reading the following article:     https://www.edvisors.com/ask/faq/parents-refuse/     Lastly, if I were in your place, I would want to understand why your parents refused to fill out the FAFSA documents. Once you understand their concerns, do your best to prove that they do not need to worry. If it is about privacy, tell them the information is secure and completely confidential. If they are afraid that they will have to pay your loans for you, ask your finance counselor to only give loans your parents do not have to co-sign for.     Good luck! "
"My parents refuse to sign up for financial aid, because of certain information required, is there any alternative way around this or special circumstantial exceptions?","Hi Akilah,  Since you need to apply for FAFSA each year, I figure the information below may still be helpful for you:  Here is the link for individuals who generally do not need their parents' information:  https://fafsa.ed.gov/fotw1718/help/fftoc02k.htm  This is part of their 'Help' section under the question: 'Will I need my parents’ information?' at fafsa.ed.gov - if you answer 'Yes' to any of those questions you should not need your parents' information to successfully apply.  If you answered 'No' to any of the scenarios from the link above, then you would still require your parents' info. But if your parents still are not willing to provide the info needed to fill out your FAFSA then what can you do?  Check the below link out that details this exact special circumstance. You may need to work with your school is financial aid office to explain your situation. A key distinction in similar situations is to determine whether you are a 'Dependent' of your parents or considered 'Independent'.   https://studentaid.ed.gov/sa/fafsa/filling-out/parent-info#unwilling-parents  I hope this helps!   #financial-aid #personal-finance"
"My parents refuse to sign up for financial aid, because of certain information required, is there any alternative way around this or special circumstantial exceptions?"," Hi Akilah,   Unfortunately,  your parents must provide their info if you want FAFSA help.  FAFSA is very important because they need to know how much your parents make in order to determine your aid.     They really should reconsider FAFSA if you do not have a lot of scholarships or other financial awards.   Best of Luck "
What high school classes can I take to be a pharmacist," Hi Jayna,     I hope  your school year is off to a great start. It is exciting to hear that you are interested in a pharmacology career! Many of the courses you should enroll in involve mathematics and sciences.  Here are some options you may want to consider:   Chemistry , Organic Chemistry  Biology  Human Anatomy, Human Phisiology  Calculus  Statistics  Communication/Public Speaking   Keep in mind your high school may not offer all of the listed courses, however you will be able to complete these studies during your undergraduate career (search for colleges with pharmacology programs). The more experience you can get early on, the more familiar you will be with the career path, and the more you will know if it is a good fit for you. All the best with your future studies!     Amanda "
What is a good college for Criminal Justice?," Hi, Not much I can add to the great answer you have above except for another link - criminal justice is a wide open field, no matter where you go to school.  There are a lot of good community college programs a well.   http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-humanities-schools/criminology-rankings   Criminology Ranked in 2009 | Criminology Rankings Methodology Criminology programs combine principles of sociology, law and psychology to prepare students to deal with criminals, understand the justice system and work to prevent crime. These are the top graduate schools for criminology. Each school is score reflects its average rating on a scale from 1 (marginal) to 5 (outstanding), based on a survey of academics at peer institutions. "
What is a good college for Criminal Justice?," Hello Shonnelia,   You posed a very interesting question about the criminal justice field. Even though I do not have a degree in criminology nor criminal justice program certifications myself, I was able to research your question with excellent success. I came across an article on the america.edu website that offered a list of the top 20 criminal justice programs offered through colleges in the U.S. Of those listed, the top 5 are as follows: University of Pennsylvania (Ivy League, most selective), Northeastern University, University of Florida, University of Missouri (St. Louis campus), and Rutgers, The State University of New Jersey (Newark campus). Luckily for you, some of those appear to be located around the Boston area. I will post the link to the website in the references below. Please bear in mind that many websites (even educational ones like the one I referenced) will have differing lists that are not definitive. I hope this information helps to answer your question. If you have any further inquiries, please feel free to post them here. As always, thank you for using Career Village!   References:   Top 20 Criminal Justice Programs In America. (n.d.). America.edu. Retrieved April 8, 2015, from http://www.america.edu/top_20_criminal_justice_programs_in_america_.html "
What is a good college for Criminal Justice?, Sam Houston State University is know for being one of the top programs in the country for the study of Criminal Justice  and criminology. 
Is it possible to be accepted into medical school without being a science major?," I know a few people who took the exact route you are thinking - music undergrad, leading to Medical school - and are now doctors (that are still active performers on the side). I do not know if it is still true, but at one time, music majors had the highest medical school acceptance rates (percent, not total number) of any undergraduate degree for exactly the reasons you stated above. Music is one of the most demanding courses of study at the college level, and admissions officers know that.   Sounds like a great plan!   Best of luck! "
If you are a nurse can you make your own schedule?," Good question!  The answer is not black and white unfortunately though. It depends on where you work and what area of nursing you choose. For example, if you choose a hospital job with shift work, you are normally hired in for a usual shift. Most shifts in hospital nursing are 12 hour shifts, but there are still 8, 10 and Weekend option only shifts.  You would also get additional pay for working evening, nights, or weekend shifts.  Keep in mind if you have a higher than usual number of patients admitted,  or a co- worker calls in ill, if another nurse can’t be found a Nurse would have to stay over.  This does give you a power of negotiation sometimes and we can be creative with this...such as, “I will work another 8 hours if I can be off on Friday.”   In a free-standing surgery center that performs elective surgeries you normally have daytime hours.  OR in the hospitals, you have set hours, but if cases are running long, you will have to stay over.  Also for emergency cases, surgery nurses take turns being on call, for which you Re compensated a bit and higher pay if you get called in for a case. Home Care is somewhat similar.  If you work in administration, Education or Infection Control, those hours are normal daytime hours usually.  Doctor’s offices normally close on time.  There is always plenty of overtime pay to be made. If you need a shift off and the schedule is already posted, you likely can get off if you work out a trade with your co-worker.  So, we are flexible, especially if you help others out, they are more apt to help you out.  However, we have to keep our patients safe as we can first and foremost. Your next steps would be to think about what kind of nursing YOU want to practice.  When I was a new single Nurse without children I could work ER, evenings and nights and lots of hours.  After I became more experienced in my practice , married and had children, I got into Nursing Administration as a Department Manager so I could better manage my schedule and be home with my family at the traditional times...however, one must remember that all shifts should see their manager sometimes as well.  Work a late evening and begin night shift or go in early to see night staff and leave early from day shift.  Flexible! Good luck in your journey!  "
If I were to become a bio engineer what kind of jobs would be available? Could I work in a hospital and still make a lot of money?,"As with previous answers, the choice is yours.  Begin college with a double major in biology/pre-med and mechanical engineering.  You will be VERY busy, so do not plan on leading the cheerleading squad.  While you are in school, try to locate bioengineering firms where you could intern.  This will help you get connected to those who do the hiring.  Study hard, but retain imagination.  Any good engineer imagines what can work and then sets about building something that will do the job.  "
If I were to become a bio engineer what kind of jobs would be available? Could I work in a hospital and still make a lot of money?,"Biomedical engineers do not tycally work at hospitals Biomed techs do. I  Biomed tech manages and repairs all the medical equipment  at a hospital, like infusion pumps, heart monitors,  respirators, etc. Biomedical engineers design and build such equipment. They work for companies like GE Healthcare, Baxter, Philips, Siemens that design and make all this equipment. As a bio eng. you will work in an office or lab. Deb Pahl  on her response to you told you what a typical Bio tech makes. Bio Eng pays a bit more. If you want to work IN a hospital, a Bio Tech job will get you there. But if money is what you seek, you have to become an M.D. or a drug rep."
If I were to become a bio engineer what kind of jobs would be available? Could I work in a hospital and still make a lot of money?,"Annual salary if work in hospital on average is around $65.500. They repair the equipment that we use on our patients.  If we have a problem with an IV pump for example, we will send it down to biomes for repair. They also have to test all their equipment annually to meet certification requirements. A very important in the hospital!"
"What is the best way to manage working two jobs, maintaining an A average, and make time for a social life in college?"," &lt;span style=""background-color: transparent;""&gt;You have to set a routine for yourself and stick to it for the most part. Once you get into the groove of a routine it will be much easier for you to manage your time and have enough time for everything you need to do (including relaxing). Make yourself to-do lists on a weekly basis, use Google calendar or a planner to keep track of events, deadlines, and due dates. In addition to setting a routine and sticking to it, plan out relaxing activities into your day. Or set aside a time, after everything is done for the day, that you can have ""me"" time. I have also personally found it essential to not only find time for myself but also make use of that time in a way that is best for me and my holistic wellness. I have found the HeadSpace app to be an essential tool in helping me relax and generally feel more relaxed throughout the day, Guided meditation, even if you have a busy schedule, will make you feel more at ease and relaxed throughout the day as a whole (not just when you have the time to relax and focus on that ""me"" time).&lt;/span&gt;     &lt;span style=""background-color: transparent;""&gt;Set a routine.Use Google Calendar.Set aside Me TimeWrite weekly to-do lists and use a planner.Find a peaceful and restful activity that will help you feel relaxed.&lt;/span&gt; "
When is the best time to change my major?," Hey Rachel, it is best to have your major figured out by the end of your sophomore year / beginning of your junior year. Many students change their major, so do not sweat it. You will be taking basics / required coursework in years one and two. You will also have some electives -- this is a great time to take different classes you are interested in to see what you really find interesting, and can see yourself doing in the future. Worst case scenario, you have to take a few extra classes in your declared major to graduate. Enjoy the ride!     Warmly,  erinn e. "
When is the best time to change my major?," Most colleges and universities have &lt;span style=""color: rgb(34, 34, 34);""&gt;prerequisites&lt;/span&gt;, which are classes you need to take to obtain your degree. You will typically take these classes during your freshman and sophomore year. You do not have to declare your major as soon as you enter college and can remain undecided. I did not officially declare my major until the beginning of my junior year. And even if you decide to change your major, you might have enough credits for it to be your minor. "
"In favor of International students.There are many international students studying in US but due to expensive tuition fee,living and other expenses they have no other choice than to work off-campus.So how can they maintain their GPA or do well in study?"," I hear you! As an international student I had to go through similar challenges. But I understand those challenges also helped me better prioritize my time, my studies and my activities. I think you can think of taking less number of courses per semester as one solution or getting campus jobs that let you do your homework when the work load is less (say being the RA for a dorm).  "
What is the best studing tip for AP tests?,
What should I expect by majoring in Biology?,"Biology is not a career where you are going to get rich and there are often little victories sprinkled in with serious crushing defeats.  If your only concern is not wasting someones money, a degree in finance or business might be the right track.  If you however want a career filled with asking questions and trying to discover what is happening in this world, biology is probably a good fit. If you are on the fence about studying biology there are two things you can do. 1. Take an introductory biology class (most universities require it anyway) and see if you are inspired. 2. Do not study biology.  If you are not passionate about it do not waste the next 40 years of your life doing it.   I love what I do but most people are not remotely interested in it and I do not impress people at dinner parties."
What should I expect by majoring in Biology?,"If your concern is money, get out now. The financial return on your educational investment is low. To make any kind of decent money, you will need at least a masters. Keep in mind though, relative to other degrees, any kind of ecology major will not result in a high salary."
Electrical engineering or computer engineering," Hello Ernis,   Congratulation in exploring these two  options! Your math skills will help you. You can start with either   Electrical Engineering or Computer Science because the 1st two years would have pretty much the same courses. By the third year you would have a  good idea  on what you want to specialize in. Best of Luck! "
Electrical engineering or computer engineering," I have a bachelors degree in electrical engineering.  That is the classic discipline involving circuit analysis, power creation and conversion, and design.  In my opinion, if you want a career at one of the big tech companies, you are better off getting into computer engineering or computer science.  "
How does one determine the amount of loan that they need to apply for?,
What are good engineer jobs?,"   Careers in engineering  &nbsp;have to be one of the most lucrative career options both in India and abroad; yet young students get confused when they have to select their specialization.It is evident from the current trend that Computer Science provides largest employment opportunities. Hence without any doubt, Computer Science Engineering or CSE offers a very lucrative career option and would remain the same for a long time.  Here at&nbsp; career advice , we share the reasons to justify the above-mentioned statements:  Go through this article about :  Know Why You Should Pursue Computer Science Engineering  "
What are good engineer jobs?," Engineering can be very math oriented, so your enjoying math is good. Engineers also build a lot of items, so that seems to be in line with your interest.    Generally, engineers spend a lot of time working at a desk or on the computer, focused on analysis and design. There is not as much interaction with other workers as there might be with other vocations. Take that into account, though some engineering fields (Industrial Eng) do interact more.    I love the field of engineering, and encourage folks with an affinity for it to go in.  "
How to keep confidence to study?," Ena,   Studying can be taxing on both your mind and your time.  Here is a few things that worked for me:   -Schedule your time:  Research has shown that our brains focus best for about one and a half hours before needing a break or a reset.  Try to organize your studying in 1.5 hour increments with a 15-20 minute break between sessions where you go for a walk, take care of a quick chore or chat with a friend.  Then, return to your next study session.     -Focus music:  Check YouTube or your favorite music channels for focus music that you can play in the background while you study.  This might help to keep you on task and also get more accomplished in a shorter amount of time.   -Turn off all notifications:  Turn off all alerts, alarms and notifications for anything (text, email, etc.) and put your phone on silent during the 1.5 hour study time.  If you are working on your computer, close out your emails and all social media accounts.  Almost everything you will be notified about can wait until the 15-20 minute break, allowing you to not be distracted.  The study sessions will stick more effectively and you will be able to cover more material.   -Plan the material:  Plan out the topics or materials that need to be covered during the 1.5 hours (this should be what is most important/what should be done now.)  This way there is a good goal to accomplish by the end and you will be able to better assess how much more or less time you may need for the topic at hand.  It will also help you from jumping around too much and getting off track. "
How to keep confidence to study?," You will need to focus on stress and time management. In order to manage stress you have to manage your time wisely. &lt;span style=""background-color: transparent;""&gt;You have to set a routine for yourself and stick to it for the most part. Once you get into the groove of a routine it will be much easier for you to manage your time and have enough time for everything you need to do (including relaxing). Make yourself to-do lists on a weekly basis, use Google calendar or a planner to keep track of events, deadlines, and due dates. In addition to setting a routine and sticking to it, plan out relaxing activities into your day. Or set aside a time, after everything is done for the day, that you can have ""me"" time. I have also personally found it essential to not only find time for myself but also make use of that time in a way that is best for me and my holistic wellness. I have found the HeadSpace app to be an essential tool in helping me relax and generally feel more relaxed throughout the day, Guided meditation, even if you have a busy schedule, will make you feel more at ease and relaxed throughout the day as a whole (not just when you have the time to relax and focus on that ""me"" time).&lt;/span&gt;     &lt;span style=""background-color: transparent;""&gt;Set a routine.Use Google Calendar.Set aside Me TimeWrite weekly to-do lists and use a planner.Find a peaceful and restful activity that will help you feel relaxed.&lt;/span&gt;  &lt;span style=""background-color: transparent;""&gt;Here is how to be successful in them:&lt;/span&gt;         &lt;span style=""background-color: transparent;""&gt;Stay on track - do assignments early, finish things a head of time, and be aware of all of your deadlines&lt;/span&gt;  &lt;span style=""background-color: transparent;""&gt;do all the the assignments and read all of the coursework required- do not cut corners&lt;/span&gt;  &lt;span style=""background-color: transparent;""&gt;use Google calendar to keep track of deadlines&lt;/span&gt;  &lt;span style=""background-color: transparent;""&gt;communicate with your professor early if something comes up&lt;/span&gt;  &lt;span style=""background-color: transparent;""&gt;do not be afraid to ask for an extension if you need one&lt;/span&gt;  &lt;span style=""background-color: transparent;""&gt;study, and study a lot! you do not have regular class sessions so you will need to put in more work at home.&lt;/span&gt;  &lt;span style=""background-color: transparent;""&gt;Do your best and genuinely try hard to give it your all.&lt;/span&gt;   The best way to score high on the test is to Google search an online program or book that will help you study. Once you find an online lesson plan for success you can use it as a road map for studying. Otherwise, find a book to help you study and spend 45 mins a night reading through it and studying. Depending on when you test is, the first thing you will want to do is organize a studying schedule for yourself. Target studying certain sections of the test and divide them up by the weeks/months you have until you have to take it.    "
How to keep confidence to study?, It took me a couple of years to figure that out in college.  I found ways to study with others in my class and that helped tremendously.  The subjects also become more interesting that way.  I know sometimes it is not feasible sonanother idea is to try studying at a different time if the day.  Or perhaps more often but with more breaks in between. 
"If I cannot find a job in my career field after college, what should I do?"," If you use the process which I present below, you will increase your chances of not only landing an appropriate job in your career area, but you will be well prepared if you ever lose your job and have to seek another.  At least 80% of people who find jobs find them through the creation and maintenance of interpersonal networking relationships developed through the following processes.     Getting to know yourself and how your personality traits relate to people involved in various career opportunities is very important in your decision making process. During my many years in Human Resources and College Recruiting, I ran across too many students who had skipped this very important step and ended up in a job situation which for which they were not well suited. Selecting a career area is like buying a pair of shoes. First you have to be properly fitted for the correct size, and then you need to try on and walk in the various shoe options to determine which is fits the best and is most comfortable for you to wear. Following are some important steps which I developed during my career which have been helpful to many . "
"If I cannot find a job in my career field after college, what should I do?"," Katy,     You will find a job in physical therapy!! So long as insurance continues to cover PT, doctors will keep sending us. As one who is at the tail end of the baby boomer generation, I can tell you, there is a lot of work, esp. here in San Antonio. I encourage you to develop good references as you go. This includes not only the actual skill and knowledge of PT, but the other skills. . . customer service - how you treat people in any environment, is important! Documentation - your ability to keep detailed and accurate records -wherever you acquire the skill, is transferable! Privacy - ability to be discreet and safeguard client information - it could be credit card numbers, phone and address - not just medical info.  Infectious disease control - even good sanitation practices handling food service ----All of this transfers and will go to show you will be a good employee!     As to San Antonio, there are much more than simple outpatient PT facilities. Skilled Nursing Facilities (SNF) offer 1 hr of therapy per day. LTACs - Long Term Acute Care Facilities - offer PT.  Some doctor offices offer PT - such as Northeast Orthopedics and also TSAOG (the San Antonio Orthopedic Group- a top rated employer to work for - even if you start in admin, look into getting a job here!). Hospitals have rehab. This includes Northeast Methodist, which has an orthopedic wing.  Places like Warm Springs do 3 hours of therapy a day, usually in 2 sessions, spread apart. They make sure patients can bathe and dress safely, climb steps, etc.     In addition to PT is OT, occupational therapy, which teaches people how to safely function. There is a lot of concern for the aging populace, which is very prone to falling and increasingly live alone. Teaching them how to reach, bend, etc, and improving their balance. My parents are in their 80 is - I have been around a lot of this! They also do  a lot of therapy for patients recovering from illness. When an older person has been bed-ridden for 7-10 days they lose a lot of muscle tone!      However, you can also work with younger people. They want to stay 100% functional . . . I have seen them in therapy - hand injuries , fractures, etc.  They are a very motivated group!      I realize I have not answered the question. The short answer is, you find something else, and keep trying to get into your field. However, the longer you are out of school without going into your field, the harder it is to get into it. So, should this happen, you want to at least stay close to your field - such as having a different job in a PT or doctor is office.  I read somewhere that truly successful people do not have a ""Plan B,"" as they do not expect to fail. That sort of makes sense. It is also sort of scary.  Again, with all the facilities in and around San Antonio, I expect you will find a job! "
"Do public defenders have the same  requirement as lawyers (Bar exam, etc) ?"," Some public defenders are gov not employees, where others are private practitioners appointed by the courts to handle certain cases for indigent clients. It is an excellent way to start out a career in law. It is not always just about money. You will be exposed to a wide variety of cases, learn the realities of plea bargaining (most cases do not go to trial), and see how often innocent people plead guilty because they are afraid to take their chances with the judicial system.    Prosecutors are also gov not employees, and of course, they are on the other side, trying to send people to prison or jail. They too are overworked many times, and I have seen them in trial totally unprepared, because the case has dragged out for two years, and changed prosecutors three times.Most lawyers do not stay with the prosecutors office for their entire careers, they use it as a stepping stone, often, to go into criminal defense.     People pay a lot of money for a criminal defense attorney.  "
"Do public defenders have the same  requirement as lawyers (Bar exam, etc) ?", Short answer: Yes. Public defenders are also required to take the bar and have a J.D. 
How important is attending  film school in boosting one is chance of breaking into the film/television industry?  I have heard debates on both sides but am still undecided as to whether it is a good investment.," This is a difficult question to answer because there are people in the film industry that feel strongly on both sides of this issue. I want to be careful in answering so as not to make any enemies. On the other hand I think someone needs to give some sound advice to this often asked question. So, here goes. There was a time where film school was a must, today however many things have changed. I believe that schooling is important for a film or TV career, but what schooling is the real question. Get your feet wet working in the industry. There are a lot of smaller independent productions you can get involved in. This will help you find the area of production that interests you or that you are best suited for. Then you can decide what education would be best for the specific film career you are interested in. Graphic artist, art directors, writers, storage technicians, there are many areas of modern production, just watch the credits. Choose the education that will help you advance your ideal production job.   James Hout "
How important is attending  film school in boosting one is chance of breaking into the film/television industry?  I have heard debates on both sides but am still undecided as to whether it is a good investment.," Hi Audrey, You have already filmed your portfolio film. Fantastic! I agree with the advice to skip the film school, and start producing and directing more. What you might consider would be what is your favorite genre that you perceive has an audience in the future. If you are interested in exciting girls and women, just ask what was the last movie they saw. Do they remember? Years ago? Or was it animation from Pixar? So they buy popcorn and sodas at 7-11 on Friday night to watch Netflix or HBO. Okay, I have heard my friends and family members yearn for movies which show that tender-loving care, adventure, hard work and safe tips will help them to solve their daily conflicts, especially when they deal with violent moments. They want to see respect at The End.    "
How important is attending  film school in boosting one is chance of breaking into the film/television industry?  I have heard debates on both sides but am still undecided as to whether it is a good investment.," The only debate that is potentially hotter than this one is the one revolving around the current U.S. presidential election.   Maybe a comparison might work:  If you were in a commercial jet on your way to, say, Australia, and things started to go bad, who would you rather have flying your plane?  The guy who flew combat missions in a serious war, was shot at, brought back a crippled bomber and saved his crew... or the guy who learned to fly in a simulator?   'Twer me, I would spend my money (1) making essential industry contacts, (2) using the cash to survive while I worked on serious (not my friend is thousand-dollar indie feature) productions - for free if necessary, and (3) pressing my contacts for mentorships, internships, shadowing... whatever I could do to learn both the craft  and   the biz.   As a side note, if a film school is ""prestigious,"" why is it so?  Is it because one or two really famous people went there?  Okay, so what about the tens of thousands who went there who no one has ever heard of?   Make the world your classroom.  Become knowledgeable in a wide range of topics (it makes you more interesting).  Why is that important?  Because the folks who will want to work with you and pay you for the privilege want to be glad they made that choice. "
How important is attending  film school in boosting one is chance of breaking into the film/television industry?  I have heard debates on both sides but am still undecided as to whether it is a good investment., Take the money you were going to spend on school and make the best movie you can. This path gives you a movie. Take the other and you end up with a piece of paper.  
Does undergrad prestige really matter?," No, it really does not matter what school you attend, as the most important factors are how well you do with the school work, which is an indication to an employer about what kind of employee you will be, and the effort that you put forth in your networking to set up networking connections that will help you throughout your education/career journey. Here is an important video for you to watch: ## http://www.ted.com/talks/julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting?utm_campaign=social&amp;utm_medium=referral&amp;utm_source=facebook.com&amp;utm_content=talk&amp;utm_term=education ##     The most important thing for you to do that will benefit your education journey is to get to know yourself better to determine which career area would most closely match the application of your personality traits and get to know people who are doing what you think that you might want to do, so you can see what they do, how they got there, and see what advice and suggestion they might have for you.     Getting to know yourself and how your personality traits relate to people involved in various career opportunities is very important in your decision making process. During my many years in Human Resources and College Recruiting, I ran across too many students who had skipped this very important step and ended up in a job situation which for which they were not well suited. Selecting a career area is like buying a pair of shoes. First you have to be properly fitted for the correct size, and then you need to try on and walk in the various shoe options to determine which is fits the best and is most comfortable for you to wear. Following are some important steps which I developed during my career which have been helpful to many . "
alright so what should i do if  want to enter the world of forensics?," Step 1: Choose a Discipline Your first step is to choose a discipline. Forensic science is a broad field, integrating various disciplines of science in the pursuit of civil justice. Professionals in this field may specialize in toxicology, pathology, physical anthropology, behavioural science and general forensics, among other specialities.   Step 2: Earn a Bachelor is Degree You must have at least bachelor is degrees to find employment in this occupation. Depending on the chosen discipline, students may focus their studies on the natural or biological sciences. For example, students interested in a career in toxicology may focus on microbiology, while those looking to begin a career in forensic ballistics may choose to focus on physics.   Some colleges and universities offer Bachelor of Science in Forensic Science programs. Employing classroom and laboratory instruction, these 4-year degree programs combine various sciences applicable to forensic science. Courses may include:   Microbiology Genetics Human anatomy Organic chemistry Toxicology Physics Evidence analysis Forensic anthropology Public speaking   Step 3: Consider an Advanced Degree According to the American Academy of Forensic Sciences, some disciplines require only bachelor is degrees, while others may require advanced degrees in applicable fields of science or medicine. So the third step is to consider an advanced degree. Forensic anthropologists typically have Doctor of Philosophy (Ph.D.) degrees in anthropology with focuses on human osteology and anatomy. Forensic ondontologists must have at least Doctor of Dental Science (DDS) degrees. Forensic pathologists must obtain medical licensure from the American Board of Pathology, which requires four years of medical school and five years of combined residency and fellowship training.   Step 4: Gain Experience Forensic scientists typically work in laboratories, hospitals, morgues, government facilities and police departments. Specific job duties vary according to discipline, but forensic scientists generally conduct scientific investigations and analyse findings to reveal details about occurrences, such as deaths, car accidents, and non-violent crimes. They work closely beside crime scene investigators, officers, deputies, and attorneys. Forensic scientists may serve as expert witnesses in criminal trials, where they present their findings to juries and judges.   Step 5: Obtain Certification The last step is to obtain certification. Earning a voluntary professional certification may help you demonstrate your competence in your specialty. The American Board of Criminalistics (ABC) offers two levels of certification for practicing  forensic scientists. Candidates for diploma certification must hold bachelor is degrees in an applicable science, have two years of experience in criminology and pass a 220-question certification examination. Candidates for fellow certification must meet all diplomate requirements, complete a proficiency testing program and pass a comprehensive exam. "
How difficult is it to become a sportscaster if I am not a professional athlete?, It is not very hard if you have a passion for sports! You do not need to be a professional athlete. I would get to know the sport you want to sportscast as much as possible and learn the history behind it. Then work on that broadcasting voice!!! (Practice in front of the mirror) 
How difficult is it to become a sportscaster if I am not a professional athlete?," First it is important for you to get to know yourself better to determine how your personality traits match with those who are successful in sportscasting and then talk to those who have successfully entered that field to get their suggestions and advice on how to best proceed.     Getting to know yourself and how your personality traits relate to people involved in various career opportunities is very important in your decision making process. During my many years in Human Resources and College Recruiting, I ran across too many students who had skipped this very important step and ended up in a job situation which for which they were not well suited. Selecting a career area is like buying a pair of shoes. First you have to be properly fitted for the correct size, and then you need to try on and walk in the various shoe options to determine which is fits the best and is most comfortable for you to wear. Following are some important steps which I developed during my career which have been helpful to many . "
How difficult is it to become a sportscaster if I am not a professional athlete?, It is not very hard if you have a passion for sports! You do not need to be a professional athlete. I would get to know the sport you want to sportscast as much as possible and learn the history behind it. Then work on that broadcasting voice!!! (Practice in front of the mirror) 
How difficult is it to become a sportscaster if I am not a professional athlete?," Sportscaster is such an amazing proffesion that has so much to offer and so much variety.  You can do anything you put your mind too. Look at todays sportscaster most were not proffesional athletes. Some are but are limited to only their specifc sport. By not being a professional athlete it allows you the freedom to work on any sport. Also there are many levels of sports you can broadcast, youth sports to proffessional  sport and everything in between so your opportunities are endless. Find out what sport or sports you are passionate about and focus on those. Do what makes you happy      Remember #Umatter. Best of luck  "
How difficult is it to become a sportscaster if I am not a professional athlete?," You need not be a professional athlete to know a lot about sports, and some of the best sportscasters on the air today have not played a sport since college.  You must be comfortable speaking in public (Toastmasters can help) and you have to put in the time because it is competitive, but here is an encouraging anecdote: recently, a ""frequent caller"" on a local sports talk show (SF bay area 95.7am) was so consistently funny, smart, well-spoken and knowledgeable that one of the radio personalities invited him to join the show on a regular basis.   "
How difficult is it to become a sportscaster if I am not a professional athlete?, It is not very hard if you have a passion for sports! You do not need to be a professional athlete. I would get to know the sport you want to sportscast as much as possible and learn the history behind it. Then work on that broadcasting voice!!! (Practice in front of the mirror) 
How difficult is it to become a sportscaster if I am not a professional athlete?, It is not very hard if you have a passion for sports! You do not need to be a professional athlete. I would get to know the sport you want to sportscast as much as possible and learn the history behind it. Then work on that broadcasting voice!!! (Practice in front of the mirror) 
How difficult is it to become a sportscaster if I am not a professional athlete?, It is not very hard if you have a passion for sports! You do not need to be a professional athlete. I would get to know the sport you want to sportscast as much as possible and learn the history behind it. Then work on that broadcasting voice!!! (Practice in front of the mirror) 
How difficult is it to become a sportscaster if I am not a professional athlete?, It is not very hard if you have a passion for sports! You do not need to be a professional athlete. I would get to know the sport you want to sportscast as much as possible and learn the history behind it. Then work on that broadcasting voice!!! (Practice in front of the mirror) 
How difficult is it to become a sportscaster if I am not a professional athlete?," This is a  competitive field, but nothing is impossible if you apply yourself.  Work with your local park district or high school to volunteer as an umpire or Coach- these will jumpstart your resume for future opportunities.  And do not forget to NETWORK!   The more people you talk to about your goals, the closer you are to forming networks for an opportunity.  Good Luck! "
